data_base;cliente_id;descricao_cliente;categoria_material;valor_ruptura;valor_pedido;volume_ruptura_und;percent_ruptura;ano;mes;cod_mes;nome_cliente;estoque;ddv;cobertura_dias;tipo_cliente;contato_cliente
202101;AA;ESMERALDA;ACESSÓRIOS;17917.35;6227.34;630;2.877;2021;1;M01;ESMERALDA;408;15.57;26;ESPECIAL;João
202101;AA;ESMERALDA;CABELOS;19967.92;58047.95;799;0.344;2021;1;M01;ESMERALDA;1072;36.93;29;ESPECIAL;João
202101;AA;ESMERALDA;CUIDADOS COM A BARBA;1224.16;1571.94;32;0.779;2021;1;M01;ESMERALDA;72;2.65;27;ESPECIAL;João
202101;AA;ESMERALDA;CUIDADOS COM A PELE;33830.42;164652.68;805;0.205;2021;1;M01;ESMERALDA;5220;121.04;43;ESPECIAL;João
202101;AA;ESMERALDA;CUIDADOS FACIAIS;3538.65;15115.23;46;0.234;2021;1;M01;ESMERALDA;247;6.53;38;ESPECIAL;João
202101;AA;ESMERALDA;DESODORANTES;38532.62;86203.63;1949;0.447;2021;1;M01;ESMERALDA;2760;90.43;31;ESPECIAL;João
202101;AA;ESMERALDA;GIFTS;9471.9;18299.58;123;0.518;2021;1;M01;ESMERALDA;274;11.67;23;ESPECIAL;João
202101;AA;ESMERALDA;INFANTIL;3970.76;26135.14;185;0.152;2021;1;M01;ESMERALDA;690;13.72;50;ESPECIAL;João
202101;AA;ESMERALDA;MAQUIAGEM;17988.32;39833.7;861;0.452;2021;1;M01;ESMERALDA;1726;52.71;33;ESPECIAL;João
202101;AA;ESMERALDA;ÓLEOS;3842.27;8345.21;69;0.46;2021;1;M01;ESMERALDA;153;6.61;23;ESPECIAL;João
202101;AA;ESMERALDA;PERFUMARIA;14609.38;687057.92;170;0.021;2021;1;M01;ESMERALDA;9807;181.47;54;ESPECIAL;João
202101;AA;ESMERALDA;SABONETE CORPO;4607.27;11533.31;242;0.399;2021;1;M01;ESMERALDA;827;38.69;21;ESPECIAL;João
202101;AA;ESMERALDA;SOLAR;157.03;660.68;3;0.238;2021;1;M01;ESMERALDA;33;1.18;28;ESPECIAL;João
202101;AA;ESMERALDA;UNHAS;998.95;1114.88;117;0.896;2021;1;M01;ESMERALDA;47;2.35;20;ESPECIAL;João
202101;BB;OURO;ACESSÓRIOS;13772.79;6314.05;447;2.181;2021;1;M01;OURO;304;12.4;25;PADRÃO;Pedro
202101;BB;OURO;CABELOS;11856.53;36685.63;453;0.323;2021;1;M01;OURO;732;24.44;30;PADRÃO;Pedro
202101;BB;OURO;CUIDADOS COM A BARBA;362.4;982.32;9;0.369;2021;1;M01;OURO;54;1.69;32;PADRÃO;Pedro
202101;BB;OURO;CUIDADOS COM A PELE;15932.32;80803.68;400;0.197;2021;1;M01;OURO;2870;64.32;45;PADRÃO;Pedro
202101;BB;OURO;CUIDADOS FACIAIS;2244.04;12311.35;22;0.182;2021;1;M01;OURO;228;4.88;47;PADRÃO;Pedro
202101;BB;OURO;DESODORANTES;11668.27;39315.66;585;0.297;2021;1;M01;OURO;1429;49.62;29;PADRÃO;Pedro
202101;BB;OURO;GIFTS;5942.59;11268.03;69;0.527;2021;1;M01;OURO;165;9.06;18;PADRÃO;Pedro
202101;BB;OURO;HOME CARE;22.84;31.84;0;0.0;2021;1;M01;OURO;24;1.2;20;PADRÃO;Pedro
202101;BB;OURO;INFANTIL;3256.55;15046.89;121;0.216;2021;1;M01;OURO;466;8.46;55;PADRÃO;Pedro
202101;BB;OURO;MAQUIAGEM;6012.89;26960.32;281;0.223;2021;1;M01;OURO;1230;41.47;30;PADRÃO;Pedro
202101;BB;OURO;ÓLEOS;3314.32;4299.36;58;0.771;2021;1;M01;OURO;84;3.82;22;PADRÃO;Pedro
202101;BB;OURO;PERFUMARIA;3316.66;416555.85;52;0.008;2021;1;M01;OURO;7974;139.89;57;PADRÃO;Pedro
202101;BB;OURO;SABONETE CORPO;1689.55;10455.31;75;0.162;2021;1;M01;OURO;726;28.07;26;PADRÃO;Pedro
202101;BB;OURO;SOLAR;185.74;731.26;4;0.254;2021;1;M01;OURO;18;0.68;27;PADRÃO;Pedro
202101;BB;OURO;UNHAS;810.4;478.41;96;1.694;2021;1;M01;OURO;14;2.44;6;PADRÃO;Pedro
202101;CC;DIAMANTE;ACESSÓRIOS;8518.84;5510.53;277;1.546;2021;1;M01;DIAMANTE;279;9.98;28;ESPECIAL;Maria
202101;CC;DIAMANTE;CABELOS;7199.73;32624.78;282;0.221;2021;1;M01;DIAMANTE;634;24.09;26;ESPECIAL;Maria
202101;CC;DIAMANTE;CUIDADOS COM A BARBA;108.87;762.36;2;0.143;2021;1;M01;DIAMANTE;55;1.57;35;ESPECIAL;Maria
